number_courses,time_study,Marks,student_id,class_level,subject,study_hours,test_score,week,attendance_rate,gender,hostel,Tshirt_size,class_name
6,4.13,22.184,52,10,English,4.13,22.184,4,0.99,F,0,2,Sophomore
4,0.771,7.892,53,11,Math,0.771,7.892,1,0.99,M,1,1,Junior
7,6.049,36.653,54,12,Math,6.049,36.653,4,0.87,M,0,1,Senior
8,7.591,53.158,55,12,Math,7.591,53.158,1,0.97,M,0,2,Senior
7,2.913,18.238,56,11,Math,2.913,18.238,5,0.98,F,0,2,Junior
8,7.641,53.359,57,10,Science,7.641,53.359,2,0.97,F,0,2,Sophomore
7,7.649,51.583,58,12,English,7.649,51.583,5,0.97,M,1,3,Senior
3,6.198,31.236,59,10,Science,6.198,31.236,5,0.87,M,0,3,Sophomore
8,7.468,51.343,60,11,Science,7.468,51.343,5,0.93,F,1,1,Junior
6,0.376,10.522,61,12,Math,0.376,10.522,5,0.91,F,0,2,Senior
4,2.438,10.844,62,12,English,2.438,10.844,3,0.83,F,1,1,Senior
6,3.606,19.59,63,10,Science,3.606,19.59,3,0.8,M,0,2,Sophomore
3,4.869,21.379,64,12,Science,4.869,21.379,1,0.92,F,0,4,Senior
7,0.13,12.591,65,12,Math,0.13,12.591,2,0.88,M,1,1,Senior
6,2.142,13.562,66,10,English,2.142,13.562,1,0.97,M,1,2,Sophomore
4,5.473,27.569,67,10,Science,5.473,27.569,1,0.92,M,1,3,Sophomore
3,0.55,6.185,68,11,Math,0.55,6.185,5,0.94,F,0,3,Junior
4,1.395,8.92,69,11,Math,1.395,8.92,4,0.85,M,1,1,Junior
6,3.948,21.4,70,12,Science,3.948,21.4,2,0.91,F,1,4,Senior
4,3.736,16.606,71,12,Math,3.736,16.606,2,0.95,M,0,3,Senior
5,2.518,13.416,72,10,Science,2.518,13.416,3,0.84,F,0,3,Sophomore
3,4.633,20.398,73,11,Math,4.633,20.398,4,0.81,M,0,2,Junior
3,1.629,7.014,74,12,Science,1.629,7.014,5,0.82,M,1,1,Senior
4,6.954,39.952,75,10,Math,6.954,39.952,4,0.93,M,1,2,Sophomore
3,0.803,6.217,76,10,English,0.803,6.217,1,0.99,F,0,2,Sophomore
5,6.379,36.746,77,10,English,6.379,36.746,1,0.94,M,0,1,Sophomore
8,5.985,38.278,78,11,Science,5.985,38.278,5,0.91,F,0,1,Junior
7,7.451,49.544,79,12,Math,7.451,49.544,4,0.96,F,1,1,Senior
3,0.805,6.349,80,11,English,0.805,6.349,1,0.94,M,0,4,Junior
7,7.957,54.321,81,10,Math,7.957,54.321,4,0.92,F,0,2,Sophomore
8,2.262,17.705,82,11,English,2.262,17.705,3,0.86,F,1,3,Junior
4,7.41,44.099,83,10,Math,7.41,44.099,2,0.85,F,0,2,Sophomore
5,3.197,16.106,84,12,Math,3.197,16.106,5,0.95,F,0,1,Senior
8,1.982,16.461,85,11,Science,1.982,16.461,2,0.82,M,0,2,Junior
8,6.201,39.957,86,10,Science,6.201,39.957,1,0.83,M,0,4,Sophomore
7,4.067,23.149,87,12,Science,4.067,23.149,1,0.86,F,1,3,Senior
3,1.033,6.053,88,12,Math,1.033,6.053,5,0.96,F,0,3,Senior
5,1.803,11.253,89,11,Math,1.803,11.253,2,0.83,F,0,4,Junior
7,6.376,40.024,90,12,Science,6.376,40.024,4,0.86,F,0,2,Senior
7,4.182,24.394,91,11,English,4.182,24.394,3,0.84,M,0,2,Junior
8,2.73,19.564,92,10,Math,2.73,19.564,4,0.81,F,0,2,Sophomore
4,5.027,23.916,93,12,Science,5.027,23.916,1,0.82,F,0,1,Senior
8,6.471,42.426,94,12,Science,6.471,42.426,2,0.91,M,0,3,Senior
8,3.919,24.451,95,11,English,3.919,24.451,1,0.82,F,1,3,Junior
6,3.561,19.128,96,11,English,3.561,19.128,4,0.94,F,1,3,Junior
3,0.301,5.609,97,10,Science,0.301,5.609,2,0.83,M,1,3,Sophomore
4,7.163,41.444,98,11,Math,7.163,41.444,3,0.97,M,0,1,Junior
7,0.309,12.027,99,12,Math,0.309,12.027,1,0.98,F,0,1,Senior
3,6.335,32.357,100,12,Science,6.335,32.357,5,0.95,M,1,2,Senior
